ADM0_NAME,M49Code,period,number_of_bad_lakes,number_of_good_lakes,bad_percentage,total_lakes
Afghanistan,4.0,2017,1.0,1.0,50.0,2
Afghanistan,4.0,2018,1.0,1.0,50.0,2
Afghanistan,4.0,2019,0.0,0.0,0.0,2
Afghanistan,4.0,2020,0.0,0.0,0.0,2
Afghanistan,4.0,2021,1.0,1.0,50.0,2
Aksai Chin,1013.0,2017,0.0,0.0,0.0,6
Aksai Chin,1013.0,2018,0.0,0.0,0.0,6
Aksai Chin,1013.0,2019,1.0,5.0,16.666666666666664,6
Aksai Chin,1013.0,2020,1.0,5.0,16.666666666666664,6
Aksai Chin,1013.0,2021,2.0,4.0,33.33333333333333,6
Albania,8.0,2017,0.0,0.0,0.0,4
Albania,8.0,2018,0.0,0.0,0.0,4
Albania,8.0,2019,0.0,0.0,0.0,4
Albania,8.0,2020,0.0,0.0,0.0,4
Albania,8.0,2021,0.0,0.0,0.0,4
Algeria,12.0,2017,2.0,4.0,33.33333333333333,6
Algeria,12.0,2018,1.0,5.0,16.666666666666664,6
Algeria,12.0,2019,0.0,0.0,0.0,6
Algeria,12.0,2020,0.0,0.0,0.0,6
Algeria,12.0,2021,3.0,3.0,50.0,6
Angola,24.0,2017,0.0,0.0,0.0,4
Angola,24.0,2018,1.0,3.0,25.0,4
Angola,24.0,2019,0.0,0.0,0.0,4
Angola,24.0,2020,1.0,3.0,25.0,4
Angola,24.0,2021,1.0,3.0,25.0,4
Argentina,32.0,2017,9.0,62.0,12.676056338028168,71
Argentina,32.0,2018,11.0,60.0,15.492957746478872,71
Argentina,32.0,2019,12.0,59.0,16.901408450704224,71
Argentina,32.0,2020,31.0,40.0,43.66197183098591,71
Argentina,32.0,2021,16.0,55.0,22.53521126760564,71
Armenia,51.0,2017,0.0,0.0,0.0,1
Armenia,51.0,2018,0.0,0.0,0.0,1
Armenia,51.0,2019,1.0,0.0,100.0,1
Armenia,51.0,2020,0.0,0.0,0.0,1
Armenia,51.0,2021,0.0,0.0,0.0,1
Australia,36.0,2017,12.0,137.0,8.053691275167784,149
Australia,36.0,2018,10.0,139.0,6.711409395973154,149
Australia,36.0,2019,15.0,134.0,10.06711409395973,149
Australia,36.0,2020,24.0,125.0,16.10738255033557,149
Australia,36.0,2021,19.0,130.0,12.751677852348994,149
Austria,40.0,2017,0.0,0.0,0.0,7
Austria,40.0,2018,0.0,0.0,0.0,7
Austria,40.0,2019,0.0,0.0,0.0,7
Austria,40.0,2020,0.0,0.0,0.0,7
Austria,40.0,2021,0.0,0.0,0.0,7
Azerbaijan,31.0,2017,0.0,0.0,0.0,4
Azerbaijan,31.0,2018,0.0,0.0,0.0,4
Azerbaijan,31.0,2019,0.0,0.0,0.0,4
Azerbaijan,31.0,2020,0.0,0.0,0.0,4
Azerbaijan,31.0,2021,0.0,0.0,0.0,4
Bahamas,44.0,2017,0.0,0.0,0.0,2
Bahamas,44.0,2018,0.0,0.0,0.0,2
Bahamas,44.0,2019,0.0,0.0,0.0,2
Bahamas,44.0,2020,0.0,0.0,0.0,2
Bahamas,44.0,2021,0.0,0.0,0.0,2
Bangladesh,50.0,2017,0.0,0.0,0.0,4
Bangladesh,50.0,2018,0.0,0.0,0.0,4
Bangladesh,50.0,2019,0.0,0.0,0.0,4
Bangladesh,50.0,2020,0.0,0.0,0.0,4
Bangladesh,50.0,2021,0.0,0.0,0.0,4
Belarus,112.0,2017,2.0,12.0,14.285714285714285,14
Belarus,112.0,2018,4.0,10.0,28.57142857142857,14
Belarus,112.0,2019,2.0,12.0,14.285714285714285,14
Belarus,112.0,2020,3.0,11.0,21.428571428571427,14
Belarus,112.0,2021,3.0,11.0,21.428571428571427,14
Belize,84.0,2017,0.0,0.0,0.0,1
Belize,84.0,2018,0.0,0.0,0.0,1
Belize,84.0,2019,0.0,0.0,0.0,1
Belize,84.0,2020,0.0,0.0,0.0,1
Belize,84.0,2021,0.0,0.0,0.0,1
Benin,204.0,2017,0.0,0.0,0.0,1
Benin,204.0,2018,0.0,0.0,0.0,1
Benin,204.0,2019,0.0,0.0,0.0,1
